Src,Eqid,Version,Datetime,Lat,Lon,Magnitude,Depth,NST,Region
ci,15074516,2,"Thursday, November 10, 2011 23:42:56 UTC",33.9785,-116.8487,1.1,12.60,42,"Southern California"
ci,15074524,2,"Thursday, November 10, 2011 23:39:48 UTC",33.2358,-118.2935,1.7,7.00,18,"Gulf of Santa Catalina, California"
nm,111011c,A,"Thursday, November 10, 2011 23:29:24 UTC",35.8056,-90.1615,2.0,10.40,23,"Arkansas"
ci,15074508,2,"Thursday, November 10, 2011 23:24:02 UTC",33.4873,-116.4557,1.6,7.00,16,"Southern California"
ci,15074500,2,"Thursday, November 10, 2011 23:22:51 UTC",33.4717,-116.4505,2.1,10.40,88,"Southern California"
ak,10353609,2,"Thursday, November 10, 2011 23:04:08 UTC",60.4607,-150.9197,2.0,47.70,21,"Kenai Peninsula, Alaska"
nc,71679346,3,"Thursday, November 10, 2011 23:02:50 UTC",36.3442,-120.9157,2.2,6.40,54,"Central California"
nc,71679341,2,"Thursday, November 10, 2011 23:00:36 UTC",37.5367,-118.8792,1.0,7.30,29,"Central California"
ak,10353599,3,"Thursday, November 10, 2011 22:54:00 UTC",54.1776,-162.5320,3.0,10.30,17,"Alaska Peninsula"
ak,10353594,2,"Thursday, November 10, 2011 22:41:34 UTC",60.0244,-151.8182,1.8,61.50,17,"Kenai Peninsula, Alaska"
ak,10353581,3,"Thursday, November 10, 2011 22:20:30 UTC",58.2770,-154.2998,2.5,79.40,41,"Alaska Peninsula"
nc,71679336,2,"Thursday, November 10, 2011 22:19:15 UTC",36.7278,-120.8268,1.3,8.30,12,"Central California"
us,c0006q65,3,"Thursday, November 10, 2011 22:17:34 UTC",11.7563,143.5432,5.0,26.90,49,"south of the Mariana Islands"
uw,11102156,1,"Thursday, November 10, 2011 21:56:30 UTC",47.4290,-122.7866,2.4,22.30,37,"Puget Sound region, Washington"
ak,10353561,2,"Thursday, November 10, 2011 21:34:20 UTC",63.2792,-151.0821,1.8,8.00,19,"Central Alaska"
ak,10353558,2,"Thursday, November 10, 2011 21:33:29 UTC",62.2246,-145.6556,1.5,25.00, 7,"Central Alaska"
nn,00354928,8,"Thursday, November 10, 2011 21:25:27 UTC",39.5684,-119.8072,1.1,8.50, 9,"Nevada"
nn,00354926,8,"Thursday, November 10, 2011 21:13:00 UTC",38.4173,-118.7424,1.7,1.80, 7,"Nevada"
pr,11314007,0,"Thursday, November 10, 2011 20:57:25 UTC",18.9069,-66.8229,2.2,8.60, 3,"Puerto Rico region"
ci,15074460,2,"Thursday, November 10, 2011 20:51:04 UTC",34.8532,-118.8035,1.2,7.00, 7,"Central California"
nn,00354918,8,"Thursday, November 10, 2011 20:25:07 UTC",38.4154,-118.7459,1.9,1.80,10,"Nevada"
nn,00354907,8,"Thursday, November 10, 2011 20:02:32 UTC",38.4111,-118.7551,1.9,2.60,11,"Nevada"
nn,00354903,8,"Thursday, November 10, 2011 19:50:28 UTC",38.3211,-118.8918,1.6,12.10,12,"Nevada"
ci,15074436,2,"Thursday, November 10, 2011 19:41:05 UTC",34.3343,-116.9342,1.5,7.00,21,"Southern California"
ci,15074428,2,"Thursday, November 10, 2011 19:28:13 UTC",33.7768,-116.1328,1.4,7.70,52,"Southern California"
nm,111111a,A,"Thursday, November 10, 2011 19:06:35 UTC",35.3551,-92.2752,1.8,6.50, 7,"Arkansas"
nn,00354890,8,"Thursday, November 10, 2011 18:55:16 UTC",38.4168,-118.7497,1.9,4.60,18,"Nevada"
nc,71679241,2,"Thursday, November 10, 2011 18:34:17 UTC",38.8320,-122.7605,1.2,2.00,37,"Northern California"
pr,11314006,0,"Thursday, November 10, 2011 17:50:36 UTC",18.5601,-65.5850,3.3,93.00, 9,"Puerto Rico region"
ak,10352098,2,"Thursday, November 10, 2011 17:39:24 UTC",63.0527,-150.8691,3.2,121.00,75,"Central Alaska"
us,c0006pzk,9,"Thursday, November 10, 2011 17:25:40 UTC",38.4301,21.9060,5.2,6.90,227,"Greece"
