"ID","PMNNO","ACCNO","GENERIC NAME","FL"
8587,"P901619",129921,"Basic unsaturated phenol/oxirane/resin ester","P; XU"
8588,"P901621",116666,"Fatty acid ester (PROVISIONAL)","P"
8589,"P901622",124700,"Polyimide-siloxane (PROVISIONAL)","P; XU"
8590,"P901624",125623,"Heterocyclic aldehyde imine","P"
8591,"P901625",175247,"Carboxylic acid derivatives of polyoxyalkylenes (PROVISIONAL)","P; XU"
8592,"P901628",114513,"Triphenylmethane dye (PROVISIONAL)","P"
8593,"P901632",120275,"Polyesterurethane copolymer (PROVISIONAL)","P; XU"
8594,"P901639",126557,"1,4-Butanediol, polymer with 2,2-dimethyl-1,3-propanediol, hexanedioic acid, 3-hydroxy-2-(hydroxymethyl)-2-methylpropanoic acid, 2-ethyl-2-(hydroxymethyl)-1,3-propanediol, hydrazine, and 1,1'-methylenebis[4-substituted-cyclohexane] (PROVISIONAL)","P; XU"
8595,"P901641",111774,"Polyaniline (PROVISIONAL)","P; XU"
8596,"P901642",123785,"Dialkyl phosphorodithioate phosphate compound","E; P; S"
8597,"P901643",122704,"Dialkyl phosphorodithioate phosphate compound","E; P; S"
8598,"P901655",115492,"Aluminum organometallic compound (PROVISIONAL)","P"
8599,"P901665",127925,"Metal chloride/methacrylate complex (PROVISIONAL)","P"
8600,"P901666",128882,"Metal chloride/methacrylate/organic aluminum complex (PROVISIONAL)","P"
8601,"P901667",124755,"Polyalkene (PROVISIONAL)","P; XU"
8602,"P901668",121438,"Magnesium-titanium-aluminum-chloride complex (PROVISIONAL)","P"
8603,"P901669",122351,"N-(N,N-Dialkylamino methylphenyl) substituted, benzoquinone monoimine (PROVISIONAL)","P"
8604,"P901670",125463,"Poly urea thickener (PROVISIONAL)","P"
8605,"P901670",125850,"Poly urea thickener (PROVISIONAL)","P"
8606,"P901670",126922,"Poly urea thickener (PROVISIONAL)","P"
8607,"P901672",129158,"Substituted dioxazene","P"
8608,"P901672",97155,"Substituted dioxazene","P"
8609,"P901672",94849,"Substituted dioxazene","P"
8610,"P901682",148868,"Styrenated polyacrylate polymethacrylate (PROVISIONAL)","P; XU"
8611,"P901682",125441,"Styrenated polyacrylate polymethacrylate (PROVISIONAL)","P; XU"
8612,"P901682",200341,"Styrenated polyacrylate polymethacrylate (PROVISIONAL)","P; XU"
8613,"P901683",123570,"Modified melamine formaldehyde resin (PROVISIONAL)","P"
8614,"P901685",123730,"Nonionic surfactant (PROVISIONAL)","P; XU"
8615,"P901687",156526,"Formaldehyde adduct","E; P; S"
8616,"P901688",122066,"Substituted benzofuran (PROVISIONAL)","P"
8617,"P901690",127107,"Polyoxyalkyl aromatic amine tint (PROVISIONAL)","P; XU"
8618,"P901691",128235,"Styrene-acrylic polymer (PROVISIONAL)","P; XU"
8619,"P901692",125225,"Modified polyolefin (PROVISIONAL)","P; XU"
8620,"P901695",112255,"Aqueous polyurethane dispersion (PROVISIONAL)","P; XU"
8621,"P901697",126148,"Metal carbonyl carboxylate (PROVISIONAL)","P; XU"
8622,"P901699",167647,"Ruthenium carbonyl carboxylate (PROVISIONAL)","P; XU"
8623,"P901707",122895,"Metal carbonyl carboxylate (PROVISIONAL)","P; XU"
8624,"P901715",129023,"Tannin, sodium salt, polymer with acrylic monomers (PROVISIONAL)","P; XU"
8625,"P901731",173310,"Substituted triazole","E; P; S"
8626,"P901732",140502,"Sulfonamide","E; P; S"
8627,"P901742",129556,"Aliphatic diisocyanate prepolymer (PROVISIONAL)","P; XU"
8628,"P901748",123310,"Sulfonated acrylic copolymer (PROVISIONAL)","P; XU"
8629,"P901751",127812,"Styrene polymer with alkene, reaction product with organic anhydride (PROVISIONAL)","P; XU"
8630,"P901756",137703,"Blocked urethane prepolymer (PROVISIONAL)","P; XU"
8631,"P901760",263140,"Alkyl acrylate, polymer with alkyl methacrylates, peroxy-initiated (PROVISIONAL)","P; XU"
8632,"P901762",127618,"Hydroxy functional acrylic polymer (PROVISIONAL)","P; XU"
8633,"P901766",128939,"Diurea compound (PROVISIONAL)","P"
8634,"P901767",126820,"Diurea compound (PROVISIONAL)","P"
8635,"P901768",120708,"Diurea compound (PROVISIONAL)","P"
8636,"P901772",123718,"Diurea compound (PROVISIONAL)","P"
8637,"P901773",122000,"Diurea compound (PROVISIONAL)","P"
8638,"P901774",124675,"Diurea compound (PROVISIONAL)","P"
8639,"P901775",125418,"Diurea compound (PROVISIONAL)","P"
8640,"P901776",121472,"Diurea compound (PROVISIONAL)","P"
8641,"P901777",129534,"Diurea compound (PROVISIONAL)","P"
8642,"P901778",131238,"Modified acrylic resin (PROVISIONAL)","P; XU"
8643,"P901784",114433,"Polyether diol and polyether triol and polyether diamine with dicyclohexylmethanediisocyanate (PROVISIONAL)","P; XU"
8644,"P901786",113598,"Polyether triols with meta-tetramethylxylenediisocyanate (PROVISIONAL)","P; XU"
8645,"P901787",129589,"Copolymer of polyester and methylene diphenyl diisocyanate (PROVISIONAL)","P; XU"
8646,"P901788",120082,"Reaction product of isocyanate and various alcohols (PROVISIONAL)","P; XU"
8647,"P901789",123843,"Substituted triphenylmethane (PROVISIONAL)","P"
8648,"P901790",126239,"Substituted triphenylmethane (PROVISIONAL)","P"
8649,"P901791",129192,"Substituted phenyl acetate (PROVISIONAL)","P"
8650,"P901794",123343,"Polymer with carboxylated polyurethane, modified NBR and acrylated urethane (PROVISIONAL)","P; XU"
8651,"P901796",126626,"Copper complex, substituted naphthalene disulfonic acid, alkali salt (PROVISIONAL)","P"
8652,"P901802",127323,"Copolymer of acrylate esters modified with heterocyclic ring N-groups (PROVISIONAL)","P; XU"
8653,"P901803",129318,"Copolymer of acrylate esters modified with heterocyclic ring N-groups (PROVISIONAL)","P; XU"
8654,"P901804",126295,"Metallic borate alkanoate (PROVISIONAL)","P"
8655,"P901805",133290,"Photopolymer based on dimethylmaleinimide containing propylene glycol methylether (PROVISIONAL)","P; XU"
8656,"P901817",120855,"Aliphatic polyester polyurethane (PROVISIONAL)","P; XU"
8657,"P901818",155749,"Polyether polyol (aliphatic alcohol and alkalene oxide) with methylendcap (PROVISIONAL)","P; XU"
8658,"P901819",119983,"Modified acrylic polymer (PROVISIONAL)","P; XU"
8659,"P901831",126126,"Polymer of aryl alkyl epoxy compound with dibasic fatty acid, monobasic fatty acid, triethylenetetramine, phenol and aldehyde (PROVISIONAL)","P; XU"
8660,"P901839",122395,"Dialkyldithiophosphoric acid, aliphatic amine salt","E; P; S"
8661,"P901848",129078,"Aryltrialkoxysilane (PROVISIONAL)","P"
8662,"P901855",127196,"Aromatic ether (PROVISIONAL)","P"
8663,"P901856",123694,"Substituted carboxylic acid ester (PROVISIONAL)","P"
8664,"P901857",124040,"Substituted carboxylic acid ester (PROVISIONAL)","P"
8665,"P901858",114717,"Alkylphenol, substituted phenol, formaldehyde polymer (PROVISIONAL)","P; XU"
8666,"P901859",127527,"Aliphatic polyester polyacid (PROVISIONAL)","P; XU"
8667,"P901868",124437,"Complex phenyl aliphatic ester (PROVISIONAL)","P"
8668,"P901870",177196,"Complex phenyl aliphatic ester (PROVISIONAL)","P"
8669,"P901871",229415,"Higher alkyl methacrylates copolymer (PROVISIONAL)","P; XU"
8670,"P901871",122851,"Higher alkyl methacrylates copolymer (PROVISIONAL)","P; XU"
8671,"P901878",121643,"Modified acrylic resin (PROVISIONAL)","P; XU"
8672,"P901891",276961,"Polyurea polyurethane polymer (PROVISIONAL)","P; XU"
8673,"P901894",222403,"Reaction product of aromatic isocyanate and polyols (PROVISIONAL)","P; XU"
8674,"P901894",123149,"Reaction product of aromatic isocyanate and polyols (PROVISIONAL)","P; XU"
8675,"P901895",149430,"Acrylic copolymer (PROVISIONAL)","P; XU"
8676,"P901898",123525,"Acrylate polymer (PROVISIONAL)","P; XU"
8677,"P901902",127345,"Aliphatic epoxy ester anhydride polymer (PROVISIONAL)","P; XU"
8678,"P901915",132151,"Magnesium salt (PROVISIONAL)","P"
8679,"P901916",126999,"Modified polyvinylbutyral (PROVISIONAL)","P; XU"
8680,"P901917",127834,"Modified polyvinylbutyral (PROVISIONAL)","P; XU"
8681,"P901918",122022,"Copolymer of cellulose and carboxylic acids (PROVISIONAL)","P; XU"
8682,"P901920",122953,"Polymer of alkanediols, benzenedicarboxylic acid, and benzenedicarboxylic acid derivative (PROVISIONAL)","P; XU"
8683,"P901922",124391,"Modified bismaleimide (PROVISIONAL)","P; XU"
8684,"P901923",122431,"Modified bismaleimide (PROVISIONAL)","P; XU"
8685,"P901926",257546,"Cyclic carboxylic acid, polymer with hydroxy substituted alkane, alkanetriol, alkanedioic acid, alkenylbenzene, acrylic ester and hydroxyalkyl methacrylate (PROVISIONAL)","P; XU"
8686,"P901927",151849,"Halogenated ethene, polymer with alkoxyalkene, alkenyl ether, alkenyl ether benzoate and alkenyl alkylate (PROVISIONAL)","P; XU"
8687,"P901928",128848,"Shellac, acrylic copolymer, ammonium salt (PROVISIONAL)","P; XU"
8688,"P901935",120548,"Acrylated polyester (PROVISIONAL)","P; XU"
8689,"P901939",120800,"Modified styrene copolymer (PROVISIONAL)","P; XU"
8690,"P901954",125532,"Blocked polyisocyanate of glycol-modified HDI trimer (PROVISIONAL)","P"
8691,"P901956",129385,"Acrylic resin solution (PROVISIONAL)","P; XU"
8692,"P901956",97622,"Acrylic resin solution (PROVISIONAL)","P; XU"
8693,"P901960",127038,"Anhydride copolymer-acrylate half ester (PROVISIONAL)","P; XU"
8694,"P901964",121052,"Substituted polyolefin phenol (PROVISIONAL)","P; XU"
8695,"P901973",124415,"Alkoxylated aliphatic alcohol, monostearate (PROVISIONAL)","P; XU"
8696,"P901977",146715,"Crosslinked phenol-formaldehyde polymer (PROVISIONAL)","P; XU"
8697,"P901978",120537,"Carboxylated styrene acrylic copolymer (PROVISIONAL)","P; XU"
8698,"P901979",120980,"Acrylated polysiloxane (PROVISIONAL)","P; XU"
8699,"P901980",121165,"Acrylated polysiloxane (PROVISIONAL)","P; XU"
8700,"P901983",177038,"Copolyamide (PROVISIONAL)","P; XU"
8701,"P901984",121585,"Fatty acid polyamine condensate, phosphoric acid ester salt","P; S"
8702,"P901985",123650,"Fatty acid polyamine condensate, phosphoric acid ester salt","P; S"
8703,"P902002",129114,"Dimethylpolysiloxane, modified with acryl functional polyester urethane (PROVISIONAL)","P; XU"
8704,"P902003",127798,"Substituted perfluoroalkylsulfonamide (PROVISIONAL)","P"
8705,"P910003",121574,"Fatty acids, mixed esters with polyglycerol (PROVISIONAL)","P; XU"
8706,"P910005",125929,"Alkylated diphenyl ether (PROVISIONAL)","P"
8707,"P910006",120093,"Alkylated diphenyl ether (PROVISIONAL)","P"
8708,"P910007",123638,"Alkylated diphenyl ether (PROVISIONAL)","P"
8709,"P910008",126966,"Alkylated diphenyl ether (PROVISIONAL)","P"
8710,"P910009",124313,"Alkylated diphenyl ether (PROVISIONAL)","P"
8711,"P910010",140842,"Partially crosslinked saturated polyester with medium number-average molecular weight (PROVISIONAL)","P; XU"
8712,"P910011",124722,"Polymer of isophorone, diisocyanate, trimethylolpropane, polyalkylenepolyol, disubstituted alkanes and hydroxyethyl acrylate","P; XU"
8713,"P910012",129432,"Alkali or alkaline earth containing hydrous titanium aluminosilicate molecular sieve (PROVISIONAL)","P"
8714,"P910016",122420,"Polyurethane (PROVISIONAL)","P; XU"
8715,"P910028",122680,"Modified acrylate copolymer (PROVISIONAL)","P; XU"
8716,"P910030",179147,"Disubstituted naphthalene carboxylic acid salt (PROVISIONAL)","P"
8717,"P910031",154246,"Substituted naphthalene carboxylic acid salt (PROVISIONAL)","P"
8718,"P910032",120457,"Polymer of acrylic acid esters, methacrylic acid esters, acrylic acid, methacrylic acid and vinyl monomer, sodium salt (PROVISIONAL)","P; XU"
8719,"P910033",126842,"Hydroxy functional acrylic (PROVISIONAL)","P; XU"
8720,"P910035",126342,"Amylopectin, 2-[bis(substituted methyl)amino]ethyl ether, sodium salt, 2-hydroxy-3-trimethylammoniopropyl ether chloride (PROVISIONAL)","P; XU"
8721,"P910036",127232,"Aromatic substituted pyrazalone (PROVISIONAL)","P"
8722,"P910037",129932,"Aliphatic polycarboxylic acid (PROVISIONAL)","P"
8723,"P910038",124233,"Alkali, swellable acrylic based latex (PROVISIONAL)","P; XU"
8724,"P910041",123752,"Substituted acetophenone (PROVISIONAL)","P"
8725,"P910042",127823,"Phenyl substituted pyridine (PROVISIONAL)","P"
8726,"P910043",132811,"Fluorene containing diaromatic amine","E; P; S"
8727,"P910047",124562,"Salt of N,N-diethyl-p-phenylenediamine (PROVISIONAL)","P"
8728,"P910050",125689,"Epoxy terminated polymer of poly ether amine and bisphenol A","P; XU"
8729,"P910052",131512,"Polyolefin aminoester salt (PROVISIONAL)","P; XU"
8730,"P910064",178304,"N-(2-chloroethyl) iminobis (methylene) bis substituted acid (PROVISIONAL)","P"
8731,"P910067",121132,"Methylenediphenyldiisocyanate polyester prepolymer (PROVISIONAL)","P; XU"
8732,"P910070",120844,"4-Methylbenzenesulfonic acid, salt with substituted alkylamine (PROVISIONAL)","P"
8733,"P910079",129603,"Fatty acids, C18-unsaturated, dimers, polymers with ethylenediamine, diamines, a dicarboxylic acid and a monocarboxylic acid (PROVISIONAL)","P; XU"
8734,"P910082",124108,"Isocyanate functional urethane polymer (PROVISIONAL)","P; XU"
8735,"P910083",121847,"Polyamide (PROVISIONAL)","P; XU"
8736,"P910088",122828,"Polymeric product of epoxy reaction with organic acid and organic anhydrides (PROVISIONAL)","P; XU"
8737,"P910090",127607,"Glycol half ester of MHHP/HHP acid (PROVISIONAL)","P"
8738,"P910092",125270,"Acrylic copolymer (PROVISIONAL)","P; XU"
8739,"P910093",122760,"Acrylic copolymer intermediate (PROVISIONAL)","P; XU"
8740,"P910097",159843,"Castor oil modified alkyd resin (PROVISIONAL)","P; XU"
8741,"P910098",175281,"Vegetable oil modified alkyd resin (PROVISIONAL)","P; XU"
8742,"P910099",122839,"Styrene-acrylic resin (PROVISIONAL)","P; XU"
8743,"P910118",125883,"Oligomeric silicic acid ester compound with an hydroxylalkylamine","P; S"
8744,"P910121",124120,"Zinc carboxylate (PROVISIONAL)","P"
8745,"P910127",127221,"Hydroxyfunctional acrylic copolymer (PROVISIONAL)","P; XU"
8746,"P910129",125510,"Amylopectin, 2-(heteromonocyclic)ethyl ether (PROVISIONAL)","P; XU"
8747,"P910135",128984,"Arylheterarylalkylamine (PROVISIONAL)","P"
8748,"P910138",156457,"Reaction products of isocyanate and lactam (PROVISIONAL)","P"
8749,"P910139",128417,"Urethane modified epoxy resin (PROVISIONAL)","P; XU"
8750,"P910141",125747,"Copolyester (PROVISIONAL)","P; XU"
8751,"P910143",129090,"Methylalkylpolysiloxane, aralkyl modified (PROVISIONAL)","P; XU"
8752,"P910146",120242,"Aromatic sulfonic acid (PROVISIONAL)","P"
8753,"P910147",128542,"Aromatic sulfonic acid calcium salt (PROVISIONAL)","P"
8754,"P910155",157052,"Substituted aniline (PROVISIONAL)","P"
8755,"P910156",126831,"Cuprate(3-), (2-[[[(substituted)azo]phenylmethyl]azo-4-sulfobenzoato(5-)], salt (PROVISIONAL)","P"
8756,"P910166",120775,"Aromatic sulfonic acid sodium salt (PROVISIONAL)","P"
8757,"P910169",121507,"Hydroxy functional styrenated acrylate methacrylate polymer (PROVISIONAL)","P; XU"
8758,"P910171",124539,"Substituted butadiene copolymer (PROVISIONAL)","P; XU"
8759,"P910172",233273,"Metal alkyl dione diaquo (PROVISIONAL)","P"
8760,"P910188",128100,"Substituted ethyl alkyl ester (PROVISIONAL)","P"
8761,"P910194",124686,"Polyurethane (PROVISIONAL)","P; XU"
8762,"P910195",126068,"Polyurethene (PROVISIONAL)","P; XU"
8763,"P910196",120797,"Aqueous urethane dispersion (PROVISIONAL)","P; XU"
8764,"P910204",122555,"Disubstituted pyridinium bromide (PROVISIONAL)","P"
8765,"P910210",121698,"Methacrylate polyurethane (PROVISIONAL)","P; XU"
8766,"P910211",148857,"Caprolactone modified polyester (PROVISIONAL)","P; XU"
8767,"P910214",123514,"Styrene-acrylate epoxy ester copolymer (PROVISIONAL)","P; XU"
8768,"P910216",120968,"Dimethylethanolamine salt of styrene acrylate copolymer with epoxy ester (PROVISIONAL)","P; XU"
8769,"P910218",126397,"Acrylic resin modified with acrylic acid (PROVISIONAL)","P; XU"
8770,"P910220",123081,"Tung oil-oiticia oil-phenolic resin (PROVISIONAL)","P; XU"
8771,"P910221",123218,"Epoxy resin modified with acetoacetate (PROVISIONAL)","P; XU"
8772,"P910226",127914,"Polyamide alloy (PROVISIONAL)","P; XU"
8773,"P910227",155103,"Polyamide alloy (PROVISIONAL)","P; XU"
8774,"P910234",129625,"Polyurethane (PROVISIONAL)","P; XU"
8775,"P910235",125725,"Polyurethane (PROVISIONAL)","P; XU"
8776,"P910236",142202,"Oxidized polymer of formaldehyde and a carbomonocyclic diol (PROVISIONAL)","P; XU"
8777,"P910237",124664,"Alkylamine carboxylate salt (PROVISIONAL)","P"
8778,"P910238",122055,"Phenolic epoxide sulfonamide (PROVISIONAL)","P; XU"
8779,"P910239",123547,"2-Alkylphenoxy-1,4-diamino-3-phenoxyanthraquinone (PROVISIONAL)","P"
8780,"P910239",90825,"2-Alkylphenoxy-1,4-diamino-3-phenoxyanthraquinone (PROVISIONAL)","P"
8781,"P910249",120366,"Disubstituted thiophenecarbonitrile (PROVISIONAL)","P"
8782,"P910250",121234,"Disubstituted thiophenecarbonitrile (PROVISIONAL)","P"
8783,"P910251",121245,"Disubstituted diamino anthraquinone (PROVISIONAL)","P"
8784,"P910254",123923,"Epoxy siloxane copolymer (PROVISIONAL)","P; XU"
8785,"P910255",126080,"Phosphatide derivative (PROVISIONAL)","P"
8786,"P910257",174346,"Waterborne polyurethane (PROVISIONAL)","P; XU"
8787,"P910260",126251,"Amine functional epoxy salt (PROVISIONAL)","P; XU"
8788,"P910262",122931,"Carboxy functional polyester salted by amine (PROVISIONAL)","P; XU"
8789,"P910270",121529,"Rubber modified polyphthalamide (PROVISIONAL)","P; XU"
8790,"P910271",125361,"Acrylate/styrene polymer containing carboxylic groups (PROVISIONAL)","P; XU"
8791,"P910272",120208,"Butyl acrylate, polymer with substituted methyl styrene, methyl methacrylate, and substituted silane","E; P; S"
8792,"P910273",126955,"Styrene-acrylate-methacrylate copolymer (PROVISIONAL)","P; XU"
8793,"P910274",126853,"Waterborne poly acrylourethane","P; XU"
8794,"P910276",128962,"Polyacrylate (PROVISIONAL)","P; XU"
8795,"P910277",123241,"Polyacrylate (PROVISIONAL)","P; XU"
8796,"P910278",123616,"Polyacrylate elastomer (PROVISIONAL)","P; XU"
8797,"P910279",122964,"Polyisocyanate polyaddition product B (PROVISIONAL)","P; XU"
8798,"P910285",126535,"Carboxylated epoxy cresol novolak. acrylate (PROVISIONAL)","P; XU"
8799,"P910288",128520,"Alkoxylated dialkyldiethylenetriamine, alkyl sulfate salt","P; S"
8800,"P910290",127889,"Alkali or alkaline earth containing hydrous titanosilicate gel","P"
8801,"P910296",127787,"Amine salt of acrylic polymer (PROVISIONAL)","P; XU"
8802,"P910298",128495,"Amine salt of acrylic polymer (PROVISIONAL)","P; XU"
8803,"P910299",123810,"Ammonium salt of acrylic polymer (PROVISIONAL)","P; XU"
8804,"P910305",128600,"Styrene-acrylic resin emulsion (PROVISIONAL)","P; XU"
8805,"P910312",124937,"Acrylic polymer (PROVISIONAL)","P; XU"
8806,"P910315",122099,"Copolymer of butyl methacrylate, methacrylate, ethoxylated, an aromatic and a heterocyclic vinyl compound (PROVISIONAL)","P; XU"
8807,"P910317",124302,"Dimethylpolysiloxane, polyoxyalkylene ether (PROVISIONAL)","P; XU"
8808,"P910318",129396,"2-(Hydroxymethyl)-2-methyl-1,3-propanediol triester (PROVISIONAL)","P"
8809,"P910319",126228,"Polyurethane suspension in polyol (PROVISIONAL)","P; XU"
8810,"P910321",123138,"Poly(isophorone substituted-hexamethylene substituted-poly(hexamethylene carbonate)diol (PROVISIONAL)","P; XU"
8811,"P910322",120695,"Salt of alkene substituted with alkyl carboxyaryl oxo substituted pyrazoles (PROVISIONAL)","P"
8812,"P910323",129045,"Alkene substituted with alkyl carboxyaryl oxo substituted pyrazoles(PROVISIONAL)","P"
8813,"P910324",129852,"Nitro biphenylbis sulfo, amono, hydroxy, naphthaleyl azodimethoxyl,SOD sulfonate (PROVISIONAL)","P"
8814,"P910326",124517,"2-Hydroxyethylcellulose-2-cyanoethyl ether (PROVISIONAL)","P; XU"
8815,"P910331",121701,"Aryl isocyanate acyl chloride (PROVISIONAL)","P"
8816,"P910332",126728,"Aryl polyamideurea (PROVISIONAL)","P; XU"
8817,"P910337",156242,"Substituted disazo naphthalene sulfonic acid (PROVISIONAL)","P"
8818,"P910339",156048,"Polyurethane polymer (PROVISIONAL)","P; XU"
8819,"P910348",129249,"Organometallic compound (PROVISIONAL)","P"
8820,"P910351",176342,"Mixed etherdiol phenyl and alkyl diphosphite (PROVISIONAL)","P"
8821,"P910352",154746,"Mixed etherdiol alkyl diphosphite (PROVISIONAL)","P"
8822,"P910354",123672,"Polyurethane salt (PROVISIONAL)","P; XU"
8823,"P910355",124482,"Polyurethane (PROVISIONAL)","P; XU"
8824,"P910358",155329,"Maleinized polyalkene (PROVISIONAL)","P; XU"
8825,"P910359",125907,"Soya linoleic alkyd (PROVISIONAL)","P; XU"
8826,"P910360",127425,"Acrylated soya linoleic alkyd (PROVISIONAL)","P; XU"
8827,"P910361",120037,"Styrenated amino acrylate copolymer (PROVISIONAL)","P; XU"
8828,"P910364",128791,"Polyurethane salt (PROVISIONAL)","P; XU"
8829,"P910365",127572,"Fluorinated sulfonimide (PROVISIONAL)","P"
8830,"P910367",125316,"Silylpolyalkylene (PROVISIONAL)","P; XU"
8831,"P910368",125258,"Rosin-phenolic modified short oil alkyd resin (PROVISIONAL)","P; XU"
8832,"P910378",149725,"Amine salt of carboxyl terminated polycarbonate urethane polymers (PROVISIONAL)","P; XU"
8833,"P910381",124799,"Polyamide (PROVISIONAL)","P; XU"
8834,"P910382",129658,"Unsaturated cyclic siloxane polymers (PROVISIONAL)","P; XU"
8835,"P910383",123627,"Unsaturated cyclic siloxane polymer (PROVISIONAL)","P; XU"
8836,"P910384",125349,"Esterified polyamic acid (PROVISIONAL)","P; XU"
8837,"P910393",126682,"Esterified polyamic acid (PROVISIONAL)","P; XU"
8838,"P910394",124460,"Substituted perfluoroalkenyl ammonium salt (PROVISIONAL)","P"
8839,"P910395",122453,"Substituted perfluoroalkenyl ammonium salt (PROVISIONAL)","P"
8840,"P910397",122135,"Modified acrylate polymer, ammonium salt (PROVISIONAL)","P; XU"
8841,"P910403",128155,"Brominated triazine derivative","E; P; S"
8842,"P910403",126615,"Brominated triazine derivative","E; P; S"
8843,"P910405",124711,"Aromatic azide (PROVISIONAL)","P"
8844,"P910412",140513,"Polyurethane polymer (PROVISIONAL)","P; XU"
8845,"P910414",125269,"Acrylated alkyd (PROVISIONAL)","P; XU"
8846,"P910418",120571,"Fluorinated polyurethane (PROVISIONAL)","P; XU"
8847,"P910419",125350,"Polyester polyurethane urea (PROVISIONAL)","P; XU"
8848,"P910424",132764,"Copolymer of methyl methacrylate, ethylene glycol dimethacrylate and styrene (PROVISIONAL)","P; XU"
8849,"P910426",123865,"Urethane acrylic latex (PROVISIONAL)","P; XU"
8850,"P910430",122293,"Acrylated shellac (PROVISIONAL)","P; XU"
8851,"P910431",149065,"Isophthalic alkyd resin (PROVISIONAL)","P; XU"
8852,"P910432",126773,"Carboxyethylated complex tall oil polyalkylene polyamine (PROVISIONAL)","P"
8853,"P910440",122602,"Isobenzofurandione derivative (PROVISIONAL)","P"
8854,"P910442",127992,"Ethylene oxide adduct of fatty acid ester with pentaerythritol","P; S"
8855,"P910443",128008,"Fluoroethylene-vinylether copolymer (PROVISIONAL)","P; XU"
8856,"P910444",128724,"Anhydride copolymer-methacrylate mixed half ester (PROVISIONAL)","P; XU"
8857,"P910448",125190,"Perhalo butyric acid ester (PROVISIONAL)","P"
8858,"P910450",122180,"Hydroxypropyl methacrylate polymer with isocyanate and modified isocyanate (PROVISIONAL)","P; XU"
8859,"P910453",122113,"Alkyl ammonium salt of a transition metal halide (PROVISIONAL)","P"
8860,"P910454",129001,"Alkyl ammonium salt of a transition metal halide (PROVISIONAL)","P"
8861,"P910456",125816,"Substituted polyhydroxy benzene derivative (PROVISIONAL)","P; XU"
8862,"P910457",145121,"Allyloxy ketal (PROVISIONAL)","P"
8863,"P910458",147354,"Chloroalkylsilane (PROVISIONAL)","P"
8864,"P910459",158760,"Acetamidoalkylsilane (PROVISIONAL)","P"
8865,"P910483",124324,"Magnesium substituted hydroxy carbonate hydrate (PROVISIONAL)","P"
8866,"P910492",124186,"Asymmetric alkyl ketone (PROVISIONAL)","P"
8867,"P910497",128279,"Poly(organo)siloxane (PROVISIONAL)","P; XU"
8868,"P910500",121665,"Alkoxylated urethane acrylate (PROVISIONAL)","P; XU"
8869,"P910502",122237,"Urethane acrylate (PROVISIONAL)","P; XU"
8870,"P910504",123821,"2,5-Dimercapto-1,3,4-thiadiazole reaction product (PROVISIONAL)","P; XU"
8871,"P910512",121892,"Monosubstituted benzylic isocyanate, urethane with hydroxyalkyl substituted heterocycle (PROVISIONAL)","P"
8872,"P910513",177936,"Aliphatic bis-alkylamide resin (PROVISIONAL)","P"
8873,"P910513",138273,"Aliphatic bis-alkylamide resin (PROVISIONAL)","P"
8874,"P910524",174493,"Polyester resin (PROVISIONAL)","P; XU"
8875,"P910528",125930,"Organopolysiloxane (PROVISIONAL)","P; XU"
8876,"P910529",125327,"Organopolysiloxane (PROVISIONAL)","P; XU"
8877,"P910539",129783,"Ethylene interpolymer (PROVISIONAL)","P; XU"
8878,"P910551",129498,"Glycidyl azide polymer (PROVISIONAL)","P; XU"
8879,"P910552",168220,"Polyepichlorohydrin (PROVISIONAL)","P; XU"
8880,"P910553",124608,"Condensation polymer of an aromatic sulfonic acid, urea, aliphatic aldehyde and a cyclic acid amide, salt (PROVISIONAL)","P; XU"
8881,"P910554",162506,"Azo substituted naphthalene disulfonic acid (PROVISIONAL)","P"
8882,"P910555",164591,"Azo substituted naphthalene disulfonic acid (PROVISIONAL)","P"
8883,"P910556",127027,"Oil and acrylic modified alkyd resin, ammonium salt (PROVISIONAL)","P; XU"
8884,"P910561",270327,"Polyacrylate resin (PROVISIONAL)","P; XU"
8885,"P910565",126502,"Diazo 100A","P; XU"
8886,"P910574",124904,"Grafted polyethylene copolymer (PROVISIONAL)","P; XU"
8887,"P910576",128644,"Polycarbonate (PROVISIONAL)","P; XU"
8888,"P910577",122806,"Polycarboxylic acid, amine salt (PROVISIONAL)","P; XU"
8889,"P910580",143476,"Polyepoxide (PROVISIONAL)","P; XU"
8890,"P910581",147821,"Alkylenediol ethers and condensate (PROVISIONAL)","P; XU"
8891,"P910583",120651,"Propargyl alcohol propoxylate (PROVISIONAL)","P; XU"
8892,"P910584",143636,"Aryl sulfonate of a fatty acid mixture, polyamine condensate","P; S"
8893,"P910586",129476,"Alkyl siloxane (PROVISIONAL)","P; XU"
8894,"P910587",162277,"Substituted naphthalene disulfonic acid salt (PROVISIONAL)","P"
8895,"P910589",126422,"Polyether MDI prepolymer (PROVISIONAL)","P; XU"
8896,"P910595",120991,"Styrene acrylate ionomer resin (PROVISIONAL)","P; XU"
8897,"P910598",126002,"Epoxidized copolymer of phenol and substituted phenol","E; P; S"
8898,"P910601",124573,"Methylstyrene oligomer (PROVISIONAL)","P; XU"
8899,"P910602",142906,"Acrylic/polyester grafted polymer (PROVISIONAL)","P; XU"
8900,"P910603",124766,"Blocked polyurethane prepolymer (PROVISIONAL)","P; XU"
8901,"P910605",123581,"Hydroxy modified resin (PROVISIONAL)","P"
